Hospital_ID,Hospital_Name,City,State,Latitude,Longitude,Total_Visits,Emergency_Visits,Diabetes_Cases,Hypertension_Cases
H0001,Pune Health Center 52,Pune,Maharashtra,18.464805994097652,73.87264510923447,19850,4926,5878,8722
H0002,Bengaluru Health Center 88,Bengaluru,Karnataka,12.948126280703253,77.6217280021793,8311,5551,6720,1584
H0003,Chandigarh Health Center 58,Chandigarh,Chandigarh,30.60267254936532,76.82691848411984,11666,3058,8149,2447
H0004,Bhubaneswar Health Center 15,Bhubaneswar,Odisha,20.369382438446078,85.81321118497567,24042,2399,8034,1667
H0005,Mumbai Health Center 51,Mumbai,Maharashtra,19.0497438574435,72.97333856356796,24777,8933,7813,3012
H0006,Bengaluru Health Center 84,Bengaluru,Karnataka,13.010559631725751,77.53954511218251,18787,1275,8526,3552
H0007,New Delhi Health Center 50,New Delhi,Delhi,28.55064404430387,77.26359961321789,14653,4343,8289,10092
H0008,Vizag Health Center 90,Vizag,Andhra Pradesh,17.577883287658818,83.16630517958826,3995,8129,1316,8269
H0009,Ahmedabad Health Center 85,Ahmedabad,Gujarat,22.94857390048163,72.53540778958026,12268,5387,5159,6731
H0010,Indore Health Center 41,Indore,Madhya Pradesh,22.677429003832035,75.83203372973014,19216,8506,2868,5863
H0011,Hyderabad Health Center 8,Hyderabad,Telangana,17.436549976124798,78.53326400595581,15666,6392,3861,10870
H0012,Jaipur Health Center 28,Jaipur,Rajasthan,26.92896317157018,75.83607725635612,18265,3604,7515,2854
H0013,Chennai Health Center 99,Chennai,Tamil Nadu,13.003992235652799,80.30259764716125,12762,5556,8410,4240
H0014,Chennai Health Center 90,Chennai,Tamil Nadu,13.043714905967008,80.22850518198281,26322,4988,506,5534
H0015,Kochi Health Center 77,Kochi,Kerala,9.93872445390553,76.26162893743269,26792,5616,6319,2157
H0016,Chennai Health Center 23,Chennai,Tamil Nadu,13.126335254899526,80.38506129914786,24020,1559,6968,10314
H0017,Vijayawada Health Center 86,Vijayawada,Andhra Pradesh,16.520852962282277,80.69283151918555,12789,3193,3927,9955
H0018,Lucknow Health Center 92,Lucknow,Uttar Pradesh,26.882904162576292,80.93341176815206,4306,7276,6164,9874
H0019,Pune Health Center 70,Pune,Maharashtra,18.387641197621825,73.87397589719444,6748,1163,2298,8394
H0020,Jaipur Health Center 52,Jaipur,Rajasthan,26.92527751953614,75.7835777042117,20675,4081,7854,7680
H0021,Chennai Health Center 56,Chennai,Tamil Nadu,13.087817384127485,80.24906953597261,7737,1354,8464,6255
H0022,Hyderabad Health Center 1,Hyderabad,Telangana,17.356264539619332,78.465625088983,21091,6291,5835,5331
H0023,Lucknow Health Center 56,Lucknow,Uttar Pradesh,26.88625159735215,80.90073062726027,5327,8504,3231,8177
H0024,Kolkata Health Center 86,Kolkata,West Bengal,22.528567959073513,88.36774474742923,28184,4782,2811,10386
H0025,Trivandrum Health Center 59,Trivandrum,Kerala,8.560006413991236,76.8890264124676,11338,3411,2034,2243
H0026,Jaipur Health Center 33,Jaipur,Rajasthan,26.933800642049473,75.66381505674663,14111,5236,2102,8555
H0027,Vizag Health Center 23,Vizag,Andhra Pradesh,17.780415955866037,83.23831869700322,19646,6787,2349,5823
H0028,Chandigarh Health Center 69,Chandigarh,Chandigarh,30.746294139712422,76.81849114358886,13248,7900,3470,10274
H0029,Bhubaneswar Health Center 80,Bhubaneswar,Odisha,20.326982042275556,85.885353539849,15874,2148,5839,10037
H0030,Ahmedabad Health Center 84,Ahmedabad,Gujarat,22.93000985314179,72.62983156217253,8592,598,2500,3361
H0031,Bhopal Health Center 82,Bhopal,Madhya Pradesh,23.11592715532638,77.37244111674937,20340,8852,5999,7344
H0032,Bhopal Health Center 21,Bhopal,Madhya Pradesh,23.23677365698991,77.35697513228352,16446,1718,4796,5135
H0033,Hyderabad Health Center 48,Hyderabad,Telangana,17.372730594199858,78.44901319178213,22830,1545,7193,2093
H0034,Kolkata Health Center 51,Kolkata,West Bengal,22.5864345399665,88.4052591624518,19609,5393,7322,9551
H0035,Hyderabad Health Center 69,Hyderabad,Telangana,17.384765200266322,78.40815940082362,27067,5142,7979,8608
H0036,Chandigarh Health Center 92,Chandigarh,Chandigarh,30.644137446891722,76.76724327697964,13757,1560,2627,3820
H0037,Coimbatore Health Center 46,Coimbatore,Tamil Nadu,10.994176888382766,76.99465248974518,20364,3475,6402,1584
